country_name,country_code,year,tot_adults,tot_juvenile,total_mortality
Romania,ROU,2003,1503,655,
Romania,ROU,2004,32439,568,
Romania,ROU,2005,36505,864,
Romania,ROU,2006,33282,756,
Romania,ROU,2007,28852,538,
Romania,ROU,2008,25781,431,
Romania,ROU,2009,26246,470,
Romania,ROU,2010,27785,459,77
Romania,ROU,2011,30244,450,88
Romania,ROU,2012,31373,444,115
Romania,ROU,2013,32922,512,102
Romania,ROU,2014,29840,316,122
Romania,ROU,2015,28018,316,113
Romania,ROU,2016,27048,407,98
Romania,ROU,2017,23055,395,91
Romania,ROU,2018,0,,103
Slovakia,SVK,2003,231,106,
Slovakia,SVK,2004,369,202,
Slovakia,SVK,2005,378,239,
Slovakia,SVK,2006,378,182,
Slovakia,SVK,2007,369,193,
Slovakia,SVK,2008,408,167,
Slovakia,SVK,2009,9159,157,
Slovakia,SVK,2010,9891,140,16
Slovakia,SVK,2011,10393,132,15
Slovakia,SVK,2012,10713,137,23
Slovakia,SVK,2013,9654,99,12
Slovakia,SVK,2014,9927,93,18
Slovakia,SVK,2015,9824,89,18
Slovakia,SVK,2016,9919,76,30
Slovakia,SVK,2017,9956,72,29
Slovakia,SVK,2018,0,,17
Denmark,DNK,2003,105,8,
Denmark,DNK,2004,174,7,
Denmark,DNK,2005,176,20,
Denmark,DNK,2006,183,18,
Denmark,DNK,2007,175,25,
Denmark,DNK,2008,155,9,
Denmark,DNK,2009,3701,20,
Denmark,DNK,2010,3926,17,11
Denmark,DNK,2011,3938,9,13
Denmark,DNK,2012,3822,7,5
Denmark,DNK,2013,4079,12,8
Denmark,DNK,2014,3574,9,4
Denmark,DNK,2015,3197,6,4
Denmark,DNK,2016,3392,16,12
Denmark,DNK,2017,3409,9,9
Denmark,DNK,2018,0,,8
Estonia,EST,2003,131,46,
Estonia,EST,2004,150,55,
Estonia,EST,2005,141,37,
Estonia,EST,2006,137,41,
Estonia,EST,2007,3229,71,
Estonia,EST,2008,3414,52,
Estonia,EST,2009,3520,34,
Estonia,EST,2010,3350,43,6
Estonia,EST,2011,3371,29,9
Estonia,EST,2012,3250,36,5
Estonia,EST,2013,3090,33,5
Estonia,EST,2014,0,33,8
Estonia,EST,2015,2799,24,4
Estonia,EST,2016,0,,2
Estonia,EST,2017,2703,20,5
Estonia,EST,2018,0,,8
Finland,FIN,2003,2874,101,
Finland,FIN,2004,3011,96,
Finland,FIN,2005,3775,92,
Finland,FIN,2006,3754,97,
Finland,FIN,2007,3547,78,
Finland,FIN,2008,3437,93,
Finland,FIN,2009,3487,102,
Finland,FIN,2010,3291,73,6
Finland,FIN,2011,3197,71,8
Finland,FIN,2012,3219,87,4
Finland,FIN,2013,3213,82,5
Finland,FIN,2014,3047,101,9
Finland,FIN,2015,3046,89,3
Finland,FIN,2016,3063,93,4
Finland,FIN,2017,2984,98,2
Finland,FIN,2018,0,,3
Iceland,ISL,2003,5,,
Iceland,ISL,2004,115,0,
Iceland,ISL,2005,117,2,
Iceland,ISL,2006,118,1,
Iceland,ISL,2007,114,1,
Iceland,ISL,2008,138,2,
Iceland,ISL,2009,143,2,
Iceland,ISL,2010,167,0,
Iceland,ISL,2011,148,2,
Iceland,ISL,2012,152,1,
Iceland,ISL,2013,147,0,2
Iceland,ISL,2014,154,0,0
Iceland,ISL,2015,146,0,0
Iceland,ISL,2016,124,0,0
Iceland,ISL,2017,131,0,1
Iceland,ISL,2018,0,,1
Ireland,IRL,2003,2526,43,
Ireland,IRL,2004,2601,59,
Ireland,IRL,2005,0,,
Ireland,IRL,2006,0,,
Ireland,IRL,2007,3174,56,
Ireland,IRL,2008,3424,46,
Ireland,IRL,2009,3813,55,
Ireland,IRL,2010,4269,49,11
Ireland,IRL,2011,4192,34,6
Ireland,IRL,2012,4273,23,5
Ireland,IRL,2013,3710,8,10
Ireland,IRL,2014,3204,12,9
Ireland,IRL,2015,3150,60,
Ireland,IRL,2016,3063,14,
Ireland,IRL,2017,0,,
Ireland,IRL,2018,0,,
Latvia,LVA,2003,0,373,
Latvia,LVA,2004,0,320,
Latvia,LVA,2005,7342,304,
Latvia,LVA,2006,6742,241,
Latvia,LVA,2007,6357,254,
Latvia,LVA,2008,6349,248,
Latvia,LVA,2009,6906,189,
Latvia,LVA,2010,6692,88,20
Latvia,LVA,2011,6493,68,27
Latvia,LVA,2012,6062,55,30
Latvia,LVA,2013,5090,46,15
Latvia,LVA,2014,4707,38,28
Latvia,LVA,2015,4367,42,17
Latvia,LVA,2016,4200,43,17
Latvia,LVA,2017,3724,41,12
Latvia,LVA,2018,0,,24
Lithuania,LTU,2003,195,119,
Lithuania,LTU,2004,7941,184,
Lithuania,LTU,2005,7958,179,
Lithuania,LTU,2006,7908,171,
Lithuania,LTU,2007,7674,192,
Lithuania,LTU,2008,7800,200,
Lithuania,LTU,2009,8467,188,
Lithuania,LTU,2010,8981,158,25
Lithuania,LTU,2011,9790,130,32
Lithuania,LTU,2012,9617,112,35
Lithuania,LTU,2013,9172,89,48
Lithuania,LTU,2014,8552,84,43
Lithuania,LTU,2015,7270,85,39
Lithuania,LTU,2016,6757,58,38
Lithuania,LTU,2017,6548,51,33
Lithuania,LTU,2018,0,,30
Norway,NOR,2003,166,11,
Norway,NOR,2004,2864,10,
Norway,NOR,2005,3092,11,
Norway,NOR,2006,3268,7,
Norway,NOR,2007,3395,7,
Norway,NOR,2008,3414,5,
Norway,NOR,2009,3254,8,
Norway,NOR,2010,3491,8,3
Norway,NOR,2011,3808,10,6
Norway,NOR,2012,3968,16,6
Norway,NOR,2013,3828,8,12
Norway,NOR,2014,4045,3,6
Norway,NOR,2015,3989,5,5
Norway,NOR,2016,4116,3,6
Norway,NOR,2017,0,,5
Norway,NOR,2018,0,,4
Sweden,SWE,2003,272,2,
Sweden,SWE,2004,320,1,
Sweden,SWE,2005,375,13,
Sweden,SWE,2006,399,14,
Sweden,SWE,2007,385,11,
Sweden,SWE,2008,392,15,
Sweden,SWE,2009,374,6,
Sweden,SWE,2010,6831,15,14
Sweden,SWE,2011,6662,7,14
Sweden,SWE,2012,6284,12,16
Sweden,SWE,2013,5713,10,13
Sweden,SWE,2014,5795,12,16
Sweden,SWE,2015,5673,18,8
Sweden,SWE,2016,5645,13,8
Sweden,SWE,2017,5689,24,8
Sweden,SWE,2018,0,,14
United Kingdom (England and Wales),GBR,2003,0,,
United Kingdom (England and Wales),GBR,2004,0,,
United Kingdom (England and Wales),GBR,2005,0,,
United Kingdom (England and Wales),GBR,2006,0,,
United Kingdom (England and Wales),GBR,2007,0,,
United Kingdom (England and Wales),GBR,2008,0,,
United Kingdom (England and Wales),GBR,2009,0,,
United Kingdom (England and Wales),GBR,2010,0,,197
United Kingdom (England and Wales),GBR,2011,0,,192
United Kingdom (England and Wales),GBR,2012,0,,192
United Kingdom (England and Wales),GBR,2013,0,,215
United Kingdom (England and Wales),GBR,2014,0,,243
United Kingdom (England and Wales),GBR,2015,0,,257
United Kingdom (England and Wales),GBR,2016,0,,354
United Kingdom (England and Wales),GBR,2017,0,,295
United Kingdom (England and Wales),GBR,2018,0,,325
Albania,ALB,2003,80,37,
Albania,ALB,2004,2299,22,
Albania,ALB,2005,2576,16,
Albania,ALB,2006,2829,28,
Albania,ALB,2007,2779,11,
Albania,ALB,2008,3011,87,
Albania,ALB,2009,4579,88,
Albania,ALB,2010,4557,100,
Albania,ALB,2011,4538,121,
Albania,ALB,2012,4521,97,
Albania,ALB,2013,4891,107,13
Albania,ALB,2014,5602,87,12
Albania,ALB,2015,5892,89,11
Albania,ALB,2016,5972,59,17
Albania,ALB,2017,5634,40,23
Albania,ALB,2018,0,,24
Bosnia and Herzegovina,BIH,2003,0,,
Bosnia and Herzegovina,BIH,2004,0,,
Bosnia and Herzegovina,BIH,2005,0,,
Bosnia and Herzegovina,BIH,2006,0,,
Bosnia and Herzegovina,BIH,2007,0,,
Bosnia and Herzegovina,BIH,2008,0,,
Bosnia and Herzegovina,BIH,2009,0,,
Bosnia and Herzegovina,BIH,2010,2221,31,
Bosnia and Herzegovina,BIH,2011,2231,30,
Bosnia and Herzegovina,BIH,2012,0,,
Bosnia and Herzegovina,BIH,2013,2521,39,
Bosnia and Herzegovina,BIH,2014,2537,28,
Bosnia and Herzegovina,BIH,2015,2298,21,8
Bosnia and Herzegovina,BIH,2016,2214,11,11
Bosnia and Herzegovina,BIH,2017,2361,24,
Bosnia and Herzegovina,BIH,2018,0,,
Croatia,HRV,2003,63,128,
Croatia,HRV,2004,98,113,
Croatia,HRV,2005,133,110,
Croatia,HRV,2006,185,26,
Croatia,HRV,2007,188,47,
Croatia,HRV,2008,209,41,
Croatia,HRV,2009,218,64,
Croatia,HRV,2010,5165,39,12
Croatia,HRV,2011,5064,55,13
Croatia,HRV,2012,4741,68,13
Croatia,HRV,2013,4269,83,
Croatia,HRV,2014,3693,70,16
Croatia,HRV,2015,3290,51,11
Croatia,HRV,2016,3063,45,11
Croatia,HRV,2017,3063,45,14
Croatia,HRV,2018,0,,18
Greece,GRC,2003,0,,
Greece,GRC,2004,0,,
Greece,GRC,2005,9790,,
Greece,GRC,2006,10202,,
Greece,GRC,2007,10821,434,
Greece,GRC,2008,11784,531,
Greece,GRC,2009,10854,510,
Greece,GRC,2010,11781,568,
Greece,GRC,2011,11892,587,
Greece,GRC,2012,11875,600,
Greece,GRC,2013,12241,452,39
Greece,GRC,2014,11767,31,
Greece,GRC,2015,9598,13,60
Greece,GRC,2016,9538,22,46
Greece,GRC,2017,9998,13,37
Greece,GRC,2018,0,,69
Italy,ITA,2003,2493,756,
Italy,ITA,2004,2589,835,
Italy,ITA,2005,2804,892,
Italy,ITA,2006,39005,789,
Italy,ITA,2007,48693,1004,
Italy,ITA,2008,58127,1157,
Italy,ITA,2009,64791,1207,
Italy,ITA,2010,67961,1302,163
Italy,ITA,2011,66897,1428,165
Italy,ITA,2012,65701,1401,153
Italy,ITA,2013,62536,1312,154
Italy,ITA,2014,53623,1122,94
Italy,ITA,2015,52164,1246,108
Italy,ITA,2016,54653,1325,103
Italy,ITA,2017,57608,1430,126
Italy,ITA,2018,0,,161
Kosovo under UNSCR 1244,OSA,2003,0,,
Kosovo under UNSCR 1244,OSA,2004,0,,
Kosovo under UNSCR 1244,OSA,2005,0,,
Kosovo under UNSCR 1244,OSA,2006,0,,
Kosovo under UNSCR 1244,OSA,2007,0,,
Kosovo under UNSCR 1244,OSA,2008,0,,
Kosovo under UNSCR 1244,OSA,2009,0,,
Kosovo under UNSCR 1244,OSA,2010,0,,
Kosovo under UNSCR 1244,OSA,2011,0,,
Kosovo under UNSCR 1244,OSA,2012,0,,
Kosovo under UNSCR 1244,OSA,2013,0,,
Kosovo under UNSCR 1244,OSA,2014,0,,
Kosovo under UNSCR 1244,OSA,2015,0,,
Kosovo under UNSCR 1244,OSA,2016,0,,4
Kosovo under UNSCR 1244,OSA,2017,0,,5
Kosovo under UNSCR 1244,OSA,2018,0,,3
Montenegro,MNE,2003,739,2,
Montenegro,MNE,2004,796,3,
Montenegro,MNE,2005,845,4,
Montenegro,MNE,2006,850,1,
Montenegro,MNE,2007,954,3,
Montenegro,MNE,2008,1207,9,
Montenegro,MNE,2009,1490,9,
Montenegro,MNE,2010,1450,7,
Montenegro,MNE,2011,1319,9,
Montenegro,MNE,2012,1322,9,
Montenegro,MNE,2013,1062,2,
Montenegro,MNE,2014,1118,5,8
Montenegro,MNE,2015,1126,5,
Montenegro,MNE,2016,1119,4,6
Montenegro,MNE,2017,1107,12,
Montenegro,MNE,2018,0,,3
North Macedonia,MKD,2003,30,17,
North Macedonia,MKD,2004,31,17,
North Macedonia,MKD,2005,42,55,
North Macedonia,MKD,2006,39,49,
North Macedonia,MKD,2007,0,,
North Macedonia,MKD,2008,0,62,
North Macedonia,MKD,2009,2215,70,
North Macedonia,MKD,2010,2215,65,
North Macedonia,MKD,2011,2212,63,
North Macedonia,MKD,2012,0,,
North Macedonia,MKD,2013,0,,
North Macedonia,MKD,2014,0,,
North Macedonia,MKD,2015,0,,
North Macedonia,MKD,2016,3213,18,
North Macedonia,MKD,2017,2751,30,
North Macedonia,MKD,2018,0,,
Portugal,PRT,2003,572,479,
Portugal,PRT,2004,13152,525,
Portugal,PRT,2005,12889,529,
Portugal,PRT,2006,12636,507,
Portugal,PRT,2007,11587,,
Portugal,PRT,2008,10807,,
Portugal,PRT,2009,11099,521,
Portugal,PRT,2010,11613,547,64
Portugal,PRT,2011,12681,634,64
Portugal,PRT,2012,13614,613,66
Portugal,PRT,2013,13982,553,62
Portugal,PRT,2014,13760,438,73
Portugal,PRT,2015,14007,366,67
Portugal,PRT,2016,13588,329,68
Portugal,PRT,2017,13251,336,69
Portugal,PRT,2018,0,,54
Serbia,SRB,2003,0,,
Serbia,SRB,2004,0,,
Serbia,SRB,2005,0,,
Serbia,SRB,2006,0,,
Serbia,SRB,2007,8842,201,
Serbia,SRB,2008,9449,252,
Serbia,SRB,2009,10699,276,
Serbia,SRB,2010,10962,249,69
Serbia,SRB,2011,10794,276,63
Serbia,SRB,2012,9994,232,90
Serbia,SRB,2013,9791,240,69
Serbia,SRB,2014,10036,252,37
Serbia,SRB,2015,9836,228,61
Serbia,SRB,2016,10433,239,48
Serbia,SRB,2017,10595,212,55
Serbia,SRB,2018,0,,56
Spain,ESP,2003,52644,1568,
Spain,ESP,2004,59375,1529,
Spain,ESP,2005,61054,,
Spain,ESP,2006,64021,,
Spain,ESP,2007,67100,,
Spain,ESP,2008,73558,,
Spain,ESP,2009,76079,,
Spain,ESP,2010,71603,1485,
Spain,ESP,2011,68265,1323,
Spain,ESP,2012,65895,1152,
Spain,ESP,2013,64438,957,
Spain,ESP,2014,62973,736,153
Spain,ESP,2015,59726,669,157
Spain,ESP,2016,57711,650,156
Spain,ESP,2017,56873,615,147
Spain,ESP,2018,0,,210
Austria,AUT,2003,0,,
Austria,AUT,2004,0,,
Austria,AUT,2005,8029,181,
Austria,AUT,2006,8106,221,
Austria,AUT,2007,7934,142,
Austria,AUT,2008,7249,170,
Austria,AUT,2009,7913,186,
Austria,AUT,2010,8110,173,35
Austria,AUT,2011,8272,163,37
Austria,AUT,2012,8681,124,33
Austria,AUT,2013,8759,103,39
Austria,AUT,2014,8612,80,23
Austria,AUT,2015,0,,34
Austria,AUT,2016,8503,116,40
Austria,AUT,2017,8710,142,33
Austria,AUT,2018,0,,44
Belgium,BEL,2003,0,,
Belgium,BEL,2004,0,,
Belgium,BEL,2005,0,,
Belgium,BEL,2006,0,,
Belgium,BEL,2007,0,,
Belgium,BEL,2008,0,,
Belgium,BEL,2009,0,,
Belgium,BEL,2010,0,,
Belgium,BEL,2011,0,,
Belgium,BEL,2012,0,,
Belgium,BEL,2013,0,,
Belgium,BEL,2014,0,,59
Belgium,BEL,2015,10870,14,44
Belgium,BEL,2016,0,,
Belgium,BEL,2017,0,,
Belgium,BEL,2018,0,,
France,FRA,2003,0,,
France,FRA,2004,0,,
France,FRA,2005,0,,
France,FRA,2006,58402,,
France,FRA,2007,60352,724,
France,FRA,2008,61577,675,
France,FRA,2009,60309,669,
France,FRA,2010,59856,692,
France,FRA,2011,64075,712,
France,FRA,2012,65848,724,
France,FRA,2013,66344,731,242
France,FRA,2014,65566,704,219
France,FRA,2015,65970,708,259
France,FRA,2016,67674,758,266
France,FRA,2017,68202,772,153
France,FRA,2018,0,,198
Germany,DEU,2003,0,,
Germany,DEU,2004,0,,
Germany,DEU,2005,0,,
Germany,DEU,2006,0,,
Germany,DEU,2007,0,,
Germany,DEU,2008,73793,,
Germany,DEU,2009,72295,,
Germany,DEU,2010,70827,,
Germany,DEU,2011,69543,,
Germany,DEU,2012,68533,,
Germany,DEU,2013,66221,,
Germany,DEU,2014,63228,,152
Germany,DEU,2015,63020,,146
Germany,DEU,2016,0,,163
Germany,DEU,2017,0,,173
Germany,DEU,2018,0,,
Luxembourg,LUX,2003,0,,
Luxembourg,LUX,2004,0,,
Luxembourg,LUX,2005,0,,
Luxembourg,LUX,2006,727,8,
Luxembourg,LUX,2007,735,6,
Luxembourg,LUX,2008,757,5,
Luxembourg,LUX,2009,697,5,
Luxembourg,LUX,2010,674,7,
Luxembourg,LUX,2011,630,7,
Luxembourg,LUX,2012,665,1,
Luxembourg,LUX,2013,652,4,
Luxembourg,LUX,2014,622,4,
Luxembourg,LUX,2015,689,2,
Luxembourg,LUX,2016,717,7,2
Luxembourg,LUX,2017,682,2,2
Luxembourg,LUX,2018,0,,2
Netherlands,NLD,2003,0,,
Netherlands,NLD,2004,0,,
Netherlands,NLD,2005,15206,,
Netherlands,NLD,2006,13718,,
Netherlands,NLD,2007,12769,,
Netherlands,NLD,2008,13817,793,
Netherlands,NLD,2009,13690,674,
Netherlands,NLD,2010,13713,655,
Netherlands,NLD,2011,13420,549,
Netherlands,NLD,2012,12928,545,25
Netherlands,NLD,2013,12248,473,25
Netherlands,NLD,2014,11473,461,39
Netherlands,NLD,2015,10439,411,47
Netherlands,NLD,2016,10180,421,30
Netherlands,NLD,2017,10454,420,46
Netherlands,NLD,2018,0,,41
Switzerland,CHE,2003,289,,
Switzerland,CHE,2004,357,,
Switzerland,CHE,2005,327,72,
Switzerland,CHE,2006,5515,52,
Switzerland,CHE,2007,5221,54,
Switzerland,CHE,2008,5239,72,
Switzerland,CHE,2009,5551,54,
Switzerland,CHE,2010,5724,45,12
Switzerland,CHE,2011,5599,29,10
Switzerland,CHE,2012,6049,54,29
Switzerland,CHE,2013,6622,30,10
Switzerland,CHE,2014,6494,25,15
Switzerland,CHE,2015,6479,19,24
Switzerland,CHE,2016,6522,19,17
Switzerland,CHE,2017,6527,37,18
Switzerland,CHE,2018,0,,12
